# Rank    Emoji    Category    Subcategory    Name
# 124    ☕    Food & Drink    drink    hot beverage
# 125    🍀    Animals & Nature    plant-other    four leaf clover
# 126    💦    Smileys & Emotion    emotion    sweat droplets
127    ⭐    Travel & Places    sky & weather    star
# 128    🦋    Animals & Nature    animal-bug    butterfly
129    🤨    Smileys & Emotion    face-neutral-skeptical    face with raised eyebrow
# 130    🌺    Animals & Nature    plant-flower    hibiscus
# 131    😹    Smileys & Emotion    cat-face    cat with tears of joy
# 132    🤘    People & Body    hand-fingers-partial    sign of the horns
# 133    🌷    Animals & Nature    plant-flower    tulip
# 134    💝    Smileys & Emotion    emotion    heart with ribbon
# 135    💤    Smileys & Emotion    emotion    zzz
# 136    🤝    People & Body    hands    handshake
# 137    🐰    Animals & Nature    animal-mammal    rabbit face
138    😓    Smileys & Emotion    face-concerned    downcast face with sweat
# 139    💘    Smileys & Emotion    emotion    heart with arrow
# 140    🍻    Food & Drink    drink    clinking beer mugs
141    😟    Smileys & Emotion    face-concerned    worried face
142    😣    Smileys & Emotion    face-concerned    persevering face
143    🧐    Smileys & Emotion    face-glasses    face with monocle
144    😠    Smileys & Emotion    face-negative    angry face
145    🤠    Smileys & Emotion    face-hat    cowboy hat face
# 146    😻    Smileys & Emotion    cat-face    smiling cat with heart-eyes
# 147    🌙    Travel & Places    sky & weather    crescent moon
148    😛    Smileys & Emotion    face-tongue    face with tongue
# 149    🤙    People & Body    hand-fingers-partial    call me hand
150    🙊    Smileys & Emotion    monkey-face    speak-no-evil monkey
# 151    🧡    Smileys & Emotion    emotion    orange heart
# 152    🤡    Smileys & Emotion    face-costume    clown face
153    🤫    Smileys & Emotion    face-hand    shushing face
# 154    🌼    Animals & Nature    plant-flower    blossom
# 155    🥂    Food & Drink    drink    clinking glasses
156    😷    Smileys & Emotion    face-unwell    face with medical mask
157    🤓    Smileys & Emotion    face-glasses    nerd face
# 158    ☠️    Smileys & Emotion    face-negative    skull and crossbones
159    🥶    Smileys & Emotion    face-unwell    cold face
160    😶    Smileys & Emotion    face-neutral-skeptical    face without mouth
161    😖    Smileys & Emotion    face-concerned    confounded face
# 162    🎵    Objects    music    musical note
# 163    🚶    People & Body    person-activity    person walking
164    😙    Smileys & Emotion    face-affection    kissing face with smiling eyes
# 165    🍆    Food & Drink    food-vegetable    eggplant
166    🤑    Smileys & Emotion    face-tongue    money-mouth face
# 167    💅    People & Body    hand-prop    nail polish
# 168    😗    Smileys & Emotion    face-affection    kissing face
# 169    🐶    Animals & Nature    animal-mammal    dog face
# 170    🍓    Food & Drink    food-fruit    strawberry
# 171    ✋    People & Body    hand-fingers-open    raised hand
# 172    👅    People & Body    body-parts    tongue
# 173    👄    People & Body    body-parts    mouth
# 174    🌿    Animals & Nature    plant-other    herb
# 175    🚨    Travel & Places    transport-ground    police car light
# 176    ➡️    Symbols    arrow    right arrow
# 177    📣    Objects    sound    megaphone
# 178    🤟    People & Body    hand-fingers-partial    love-you gesture
# 179    🍑    Food & Drink    food-fruit    peach
# 180    🍃    Animals & Nature    plant-other    leaf fluttering in wind
181    😮    Smileys & Emotion    face-concerned    face with open mouth
# 182    💎    Objects    clothing    gem stone
# 183    📢    Objects    sound    loudspeaker
# 184    🌱    Animals & Nature    plant-other    seedling
# 185    ⚠️    Symbols    warning    warning
186    🙁    Smileys & Emotion    face-concerned    slightly frowning face
# 187    🍷    Food & Drink    drink    wine glass
188    😪    Smileys & Emotion    face-sleepy    sleepy face
# 189    🌚    Travel & Places    sky & weather    new moon face
# 190    🏆    Activities    award-medal    trophy
# 191    🍒    Food & Drink    food-fruit    cherries
# 192    ✔️    Symbols    other-symbol    check mark
# 193    💉    Objects    medical    syringe
# 194    ❌    Symbols    other-symbol    cross mark
# 195    💢    Smileys & Emotion    emotion    anger symbol
# 196    🛒    Objects    household    shopping cart
# 197    😸    Smileys & Emotion    cat-face    grinning cat with smiling eyes
# 198    🐾    Animals & Nature    animal-mammal    paw prints
199    👎    People & Body    hand-fingers-closed    thumbs down
# 200    🚀    Travel & Places    transport-air    rocket
# 201    🎯    Activities    game    bullseye
202    ☝️    People & Body    hand-single-finger    index pointing up
# 203    🍺    Food & Drink    drink    beer mug
# 204    📌    Objects    office    pushpin
# 205    📷    Objects    light & video    camera
# 206    🙇    People & Body    person-gesture    person bowing
# 207    💨    Smileys & Emotion    emotion    dashing away
# 208    🍕    Food & Drink    food-prepared    pizza
# 209    🏠    Travel & Places    place-building    house
# 210    📸    Objects    light & video    camera with flash
# 211    🐇    Animals & Nature    animal-mammal    rabbit
# 212    🚩    Flags    flag    triangular flag
213    😰    Smileys & Emotion    face-concerned    anxious face with sweat
# 214    👶    People & Body    person    baby
# 215    🌊    Travel & Places    sky & weather    water wave
# 216    🐕    Animals & Nature    animal-mammal    dog
# 217    💫    Smileys & Emotion    emotion    dizzy
218    😵    Smileys & Emotion    face-unwell    knocked-out face
# 219    🎤    Objects    music    microphone
# 220    🏡    Travel & Places    place-building    house with garden
# 221    🥀    Animals & Nature    plant-flower    wilted flower
222    🤧    Smileys & Emotion    face-unwell    sneezing face
# 223    🍾    Food & Drink    drink    bottle with popping cork
