# Rank    Emoji    Category    Subcategory    Name
# 553    🐵    Animals & Nature    animal-mammal    monkey face
# 554    🍣    Food & Drink    food-asian    sushi
# 555    🥗    Food & Drink    food-prepared    green salad
# 556    ✂️    Objects    office    scissors
# 557    🆔    Symbols    alphanum    ID button
# 558    🔑    Objects    lock    key
# 559    👴    People & Body    person    old man
# 560    🤴    People & Body    person-role    prince
# 561    🗡️    Objects    tool    dagger
# 562    👵    People & Body    person    old woman
# 563    🤳    People & Body    hand-prop    selfie
# 564    🧨    Activities    event    firecracker
# 565    ⬛    Symbols    geometric    black large square
# 566    👤    People & Body    person-symbol    bust in silhouette
# 567    🎩    Objects    clothing    top hat
# 568    🔙    Symbols    arrow    BACK arrow
# 569    🥫    Food & Drink    food-prepared    canned food
# 570    🏞️    Travel & Places    place-geographic    national park
# 571    🆕    Symbols    alphanum    NEW button
# 572    🥐    Food & Drink    food-prepared    croissant
# 573    👰    People & Body    person-role    person with veil
# 574    ♠️    Activities    game    spade suit
# 575    🌬️    Travel & Places    sky & weather    wind face
# 576    💳    Objects    money    credit card
# 577    🌨️    Travel & Places    sky & weather    cloud with snow
# 578    🕷️    Animals & Nature    animal-bug    spider
# 579    🇯🇵    Flags    country-flag    flag: Japan
# 580    🐚    Animals & Nature    animal-marine    spiral shell
# 581    🌆    Travel & Places    place-other    cityscape at dusk
# 582    ⚓    Travel & Places    transport-water    anchor
# 583    🆗    Symbols    alphanum    OK button
# 584    🇬🇧    Flags    country-flag    flag: United Kingdom
# 585    🤱    People & Body    person-role    breast-feeding
# 586    👭    People & Body    family    women holding hands
# 587    🦇    Animals & Nature    animal-mammal    bat
# 588    ✖️    Symbols    math    multiply
# 589    👨    People & Body    person    man
# 590    🕵️    People & Body    person-role    detective
# 591    🦗    Animals & Nature    animal-bug    cricket
# 592    👩‍❤️‍💋‍👨    People & Body    family    kiss: woman, man
# 593    🦕    Animals & Nature    animal-reptile    sauropod
# 594    🏹    Objects    tool    bow and arrow
# 595    🐮    Animals & Nature    animal-mammal    cow face
# 596    🚲    Travel & Places    transport-ground    bicycle
# 597    💑    People & Body    family    couple with heart
# 598    🛏️    Objects    household    bed
# 599    🏌️    People & Body    person-sport    person golfing
# 600    🚒    Travel & Places    transport-ground    fire engine
# 601    🦎    Animals & Nature    animal-reptile    lizard
# 602    🦉    Animals & Nature    animal-bird    owl
# 603    🐂    Animals & Nature    animal-mammal    ox
# 604    🍈    Food & Drink    food-fruit    melon
# 605    🚭    Symbols    warning    no smoking
# 606    🐘    Animals & Nature    animal-mammal    elephant
# 607    🚙    Travel & Places    transport-ground    sport utility vehicle
# 608    🔨    Objects    tool    hammer
# 609    ✏️    Objects    writing    pencil
# 610    ⏩    Symbols    av-symbol    fast-forward button
# 611    🎙️    Objects    music    studio microphone
# 612    📄    Objects    book-paper    page facing up
# 613    🥎    Activities    sport    softball
# 614    🔒    Objects    lock    locked
# 615    🅱️    Symbols    alphanum    B button (blood type)
# 616    🎱    Activities    game    pool 8 ball
# 617    3️⃣    Symbols    keycap    keycap: 3
# 618    🌪️    Travel & Places    sky & weather    tornado
# 619    🦵    People & Body    body-parts    leg
# 620    🏊    People & Body    person-sport    person swimming
# 621    🛵    Travel & Places    transport-ground    motor scooter
# 622    🕶️    Objects    clothing    sunglasses
623    🔎    Objects    light & video    magnifying glass tilted right
# 624    👟    Objects    clothing    running shoe
# 625    🆒    Symbols    alphanum    COOL button
# 626    〰️    Symbols    punctuation    wavy dash
# 627    🔱    Symbols    other-symbol    trident emblem
# 628    🦌    Animals & Nature    animal-mammal    deer
# 629    🥈    Activities    award-medal    2nd place medal
# 630    🚚    Travel & Places    transport-ground    delivery truck
# 631    ♈    Symbols    zodiac    Aries
# 632    🐜    Animals & Nature    animal-bug    ant
# 633    🎲    Activities    game    game die
# 634    💠    Symbols    geometric    diamond with a dot
# 635    🥝    Food & Drink    food-fruit    kiwi fruit
# 636    🦶    People & Body    body-parts    foot
# 637    👾    Smileys & Emotion    face-costume    alien monster
# 638    💮    Animals & Nature    plant-flower    white flower
# 639    🦑    Food & Drink    food-marine    squid
# 640    🔺    Symbols    geometric    red triangle pointed up
# 641    🐁    Animals & Nature    animal-mammal    mouse
# 642    ⛈️    Travel & Places    sky & weather    cloud with lightning and rain
# 643    🐌    Animals & Nature    animal-bug    snail
# 644    🔷    Symbols    geometric    large blue diamond
# 645    👖    Objects    clothing    jeans
# 646    🛍️    Objects    clothing    shopping bags
# 647    💒    Travel & Places    place-building    wedding
# 648    🐉    Animals & Nature    animal-reptile    dragon
# 649    🎍    Activities    event    pine decoration
# 650    🗝️    Objects    lock    old key
# 651    👕    Objects    clothing    t-shirt
# 652    🚽    Objects    household    toilet
# 653    🍥    Food & Drink    food-asian    fish cake with swirl
# 654    🍐    Food & Drink    food-fruit    pear
# 655    🏫    Travel & Places    place-building    school
# 656    🚂    Travel & Places    transport-ground    locomotive
# 657    🔐    Objects    lock    locked with key
# 658    ⛄    Travel & Places    sky & weather    snowman without snow
# 659    ☃️    Travel & Places    sky & weather    snowman
# 660    ☂️    Travel & Places    sky & weather    umbrella
# 661    ⏳    Travel & Places    time    hourglass not done
# 662    ⛅    Travel & Places    sky & weather    sun behind cloud
# 663    🔜    Symbols    arrow    SOON arrow
# 664    🥣    Food & Drink    food-prepared    bowl with spoon
# 665    🎋    Activities    event    tanabata tree
# 666    🔶    Symbols    geometric    large orange diamond
# 667    🔸    Symbols    geometric    small orange diamond
# 668    ⛔    Symbols    warning    no entry
# 669    0️⃣    Symbols    keycap    keycap: 0
# 670    🦸    People & Body    person-fantasy    superhero
# 671    📻    Objects    music    radio
# 672    🇦🇷    Flags    country-flag    flag: Argentina
# 673    👓    Objects    clothing    glasses
# 674    🥉    Activities    award-medal    3rd place medal
# 675    🐅    Animals & Nature    animal-mammal    tiger
# 676    📊    Objects    office    bar chart
# 677    🦝    Animals & Nature    animal-mammal    raccoon
# 678    🚪    Objects    household    door
# 679    🚘    Travel & Places    transport-ground    oncoming automobile
# 680    👱    People & Body    person    person: blond hair
# 681    ♣️    Activities    game    club suit
# 682    🌡️    Travel & Places    sky & weather    thermometer
# 683    🧜    People & Body    person-fantasy    merperson
# 684    🏥    Travel & Places    place-building    hospital
# 685    ⛵    Travel & Places    transport-water    sailboat
# 686    🕋    Travel & Places    place-religious    kaaba
# 687    📰    Objects    book-paper    newspaper
# 688    💇    People & Body    person-activity    person getting haircut
# 689    🇩🇪    Flags    country-flag    flag: Germany
# 690    🥬    Food & Drink    food-vegetable    leafy green
# 691    🐨    Animals & Nature    animal-mammal    koala
# 692    🧹    Objects    household    broom
# 693    👥    People & Body    person-symbol    busts in silhouette
# 694    🇰🇷    Flags    country-flag    flag: South Korea
# 695    ⬜    Symbols    geometric    white large square
# 696    📆    Objects    office    tear-off calendar
# 697    🥖    Food & Drink    food-prepared    baguette bread
# 698    🐩    Animals & Nature    animal-mammal    poodle
# 699    🤺    People & Body    person-sport    person fencing
# 700    🛁    Objects    household    bathtub
# 701    ⌛    Travel & Places    time    hourglass done
# 702    🔽    Symbols    av-symbol    downwards button
# 703    🕉️    Symbols    religion    om
# 704    🍲    Food & Drink    food-prepared    pot of food
# 705    🦘    Animals & Nature    animal-mammal    kangaroo
# 706    🥥    Food & Drink    food-fruit    coconut
# 707    🛀    People & Body    person-resting    person taking bath
# 708    🏍️    Travel & Places    transport-ground    motorcycle
# 709    🖼️    Activities    arts & crafts    framed picture
# 710    📅    Objects    office    calendar
# 711    📿    Objects    clothing    prayer beads
# 712    🕛    Travel & Places    time    twelve o’clock
# 713    ▪️    Symbols    geometric    black small square
# 714    🌑    Travel & Places    sky & weather    new moon
# 715    🚛    Travel & Places    transport-ground    articulated lorry
# 716    🧺    Objects    household    basket
# 717    🏎️    Travel & Places    transport-ground    racing car
# 718    📡    Objects    science    satellite antenna
# 719    🐭    Animals & Nature    animal-mammal    mouse face
# 720    🗽    Travel & Places    place-building    Statue of Liberty
# 721    🆓    Symbols    alphanum    FREE button
# 722    🎾    Activities    sport    tennis
# 723    🇫🇷    Flags    country-flag    flag: France
# 724    🏐    Activities    sport    volleyball
# 725    🎒    Objects    clothing    backpack
# 726    🆚    Symbols    alphanum    VS button
# 727    🌋    Travel & Places    place-geographic    volcano
# 728    📉    Objects    office    chart decreasing
# 729    👩‍❤️‍👨    People & Body    family    couple with heart: woman, man
# 730    🏒    Activities    sport    ice hockey
# 731    🏔️    Travel & Places    place-geographic    snow-capped mountain
# 732    🕐    Travel & Places    time    one o’clock
# 733    🦙    Animals & Nature    animal-mammal    llama
# 734    🧙    People & Body    person-fantasy    mage
# 735    🦟    Animals & Nature    animal-bug    mosquito
# 736    🃏    Activities    game    joker
# 737    🚢    Travel & Places    transport-water    ship
# 738    🙍    People & Body    person-gesture    person frowning
# 739    📕    Objects    book-paper    closed book
# 740    👬    People & Body    family    men holding hands
# 741    🐆    Animals & Nature    animal-mammal    leopard
# 742    🔛    Symbols    arrow    ON! arrow
# 743    ❕    Symbols    punctuation    white exclamation mark
# 744    👒    Objects    clothing    woman’s hat
# 745    🐪    Animals & Nature    animal-mammal    camel
# 746    🥟    Food & Drink    food-asian    dumpling
# 747    ⚖️    Objects    tool    balance scale
# 748    🧼    Objects    household    soap
# 749    🍶    Food & Drink    drink    sake
# 750    🇨🇴    Flags    country-flag    flag: Colombia
# 751    ↗️    Symbols    arrow    up-right arrow
# 752    🎪    Travel & Places    place-other    circus tent
# 753    👔    Objects    clothing    necktie
# 754    🇨🇳    Flags    country-flag    flag: China
# 755    4️⃣    Symbols    keycap    keycap: 4
# 756    📎    Objects    office    paperclip
# 757    🦚    Animals & Nature    animal-bird    peacock
# 758    🍠    Food & Drink    food-asian    roasted sweet potato
# 759    🥨    Food & Drink    food-prepared    pretzel
# 760    ⚜️    Symbols    other-symbol    fleur-de-lis
# 761    🍮    Food & Drink    food-sweet    custard
# 762    🎗️    Activities    event    reminder ribbon
# 763    🏩    Travel & Places    place-building    love hotel
# 764    🐃    Animals & Nature    animal-mammal    water buffalo
# 765    🔅    Symbols    av-symbol    dim button
# 766    🇪🇸    Flags    country-flag    flag: Spain
# 767    🏰    Travel & Places    place-building    castle
# 768    5️⃣    Symbols    keycap    keycap: 5
# 769    📬    Objects    mail    open mailbox with raised flag
# 770    ➕    Symbols    math    plus
# 771    🖌️    Objects    writing    paintbrush
# 772    🛡️    Objects    tool    shield
# 773    👩‍❤️‍💋‍👩    People & Body    family    kiss: woman, woman
# 774    📛    Symbols    other-symbol    name badge
# 775    🐏    Animals & Nature    animal-mammal    ram
# 776    🎺    Objects    musical-instrument    trumpet
# 777    🕌    Travel & Places    place-religious    mosque
# 778    🐋    Animals & Nature    animal-marine    whale
# 779    🥋    Activities    sport    martial arts uniform
# 780    🐲    Animals & Nature    animal-reptile    dragon face
# 781    ❎    Symbols    other-symbol    cross mark button
# 782    🎫    Activities    event    ticket
# 783    📨    Objects    mail    incoming envelope
# 784    ⛪    Travel & Places    place-religious    church
# 785    🦒    Animals & Nature    animal-mammal    giraffe
# 786    🎡    Travel & Places    place-other    ferris wheel
# 787    🧱    Travel & Places    place-building    brick
# 788    🎷    Objects    musical-instrument    saxophone
# 789    🚑    Travel & Places    transport-ground    ambulance
# 790    🏝️    Travel & Places    place-geographic    desert island
# 791    🚓    Travel & Places    transport-ground    police car
# 792    🚃    Travel & Places    transport-ground    railway car
# 793    🏇    People & Body    person-sport    horse racing
# 794    🌇    Travel & Places    place-other    sunset
# 795    🙎    People & Body    person-gesture    person pouting
# 796    🚌    Travel & Places    transport-ground    bus
# 797    💶    Objects    money    euro banknote
# 798    🚜    Travel & Places    transport-ground    tractor
# 799    🌰    Food & Drink    food-vegetable    chestnut
# 800    🍛    Food & Drink    food-asian    curry rice
# 801    💴    Objects    money    yen banknote
# 802    👛    Objects    clothing    purse
# 803    🧓    People & Body    person    older person
# 804    🥾    Objects    clothing    hiking boot
# 805    🐫    Animals & Nature    animal-mammal    two-hump camel
# 806    🥢    Food & Drink    dishware    chopsticks
# 807    🧤    Objects    clothing    gloves
# 808    🚔    Travel & Places    transport-ground    oncoming police car
# 809    🎰    Activities    game    slot machine
# 810    🧔    People & Body    person    person: beard
# 811    🥯    Food & Drink    food-prepared    bagel
# 812    ➖    Symbols    math    minus
# 813    🐹    Animals & Nature    animal-mammal    hamster
# 814    📽️    Objects    light & video    film projector
# 815    🦂    Animals & Nature    animal-bug    scorpion
# 816    🔘    Symbols    geometric    radio button
# 817    🔄    Symbols    arrow    counterclockwise arrows button
# 818    📥    Objects    mail    inbox tray
# 819    📹    Objects    light & video    video camera
# 820    🛫    Travel & Places    transport-air    airplane departure
# 821    📏    Objects    office    straight ruler
# 822    🇮🇱    Flags    country-flag    flag: Israel
# 823    🎠    Travel & Places    place-other    carousel horse
# 824    🆙    Symbols    alphanum    UP! button
# 825    💈    Travel & Places    place-other    barber pole
# 826    🔖    Objects    book-paper    bookmark
# 827    🇦🇺    Flags    country-flag    flag: Australia
# 828    🇪🇬    Flags    country-flag    flag: Egypt
# 829    🍱    Food & Drink    food-asian    bento box
# 830    🕜    Travel & Places    time    one-thirty
# 831    🏕️    Travel & Places    place-geographic    camping
# 832    🍢    Food & Drink    food-asian    oden
# 833    🏢    Travel & Places    place-building    office building
# 834    🔌    Objects    computer    electric plug
# 835    🦔    Animals & Nature    animal-mammal    hedgehog
# 836    🏴‍☠️    Flags    flag    pirate flag
# 837    🛸    Travel & Places    transport-air    flying saucer
# 838    🕴️    People & Body    person-activity    person in suit levitating
# 839    🤵    People & Body    person-role    person in tuxedo
# 840    👞    Objects    clothing    man’s shoe
# 841    🔋    Objects    computer    battery
# 842    🏜️    Travel & Places    place-geographic    desert
# 843    ⛓️    Objects    tool    chains
# 844    ⛏️    Objects    tool    pick
# 845    🇦🇪    Flags    country-flag    flag: United Arab Emirates
# 846    🇨🇱    Flags    country-flag    flag: Chile
# 847    ◾    Symbols    geometric    black medium-small square
# 848    ⏯️    Symbols    av-symbol    play or pause button
# 849    👜    Objects    clothing    handbag
# 850    🇵🇰    Flags    country-flag    flag: Pakistan
# 851    🇻🇪    Flags    country-flag    flag: Venezuela
# 852    🗓️    Objects    office    spiral calendar
# 853    🚧    Travel & Places    transport-ground    construction
# 854    ♋    Symbols    zodiac    Cancer
# 855    🏮    Objects    light & video    red paper lantern
# 856    🐡    Animals & Nature    animal-marine    blowfish
# 857    👘    Objects    clothing    kimono
# 858    🛹    Travel & Places    transport-ground    skateboard
# 859    🇵🇸    Flags    country-flag    flag: Palestinian Territories
# 860    ♉    Symbols    zodiac    Taurus
# 861    🚦    Travel & Places    transport-ground    vertical traffic light
# 862    🧩    Activities    game    puzzle piece
# 863    🚺    Symbols    transport-sign    women’s room
# 864    🥄    Food & Drink    dishware    spoon
865    🧛    People & Body    person-fantasy    vampire
# 866    🗻    Travel & Places    place-geographic    mount fuji
# 867    ♐    Symbols    zodiac    Sagittarius
# 868    🦹    People & Body    person-fantasy    supervillain
# 869    🇵🇭    Flags    country-flag    flag: Philippines
# 870    ✴️    Symbols    other-symbol    eight-pointed star
# 871    🏨    Travel & Places    place-building    hotel
# 872    ❇️    Symbols    other-symbol    sparkle
# 873    🏉    Activities    sport    rugby football
# 874    🦛    Animals & Nature    animal-mammal    hippopotamus
# 875    🛣️    Travel & Places    transport-ground    motorway
# 876    🕸️    Animals & Nature    animal-bug    spider web
# 877    🎟️    Activities    event    admission tickets
# 878    💼    Objects    office    briefcase
# 879    🛴    Travel & Places    transport-ground    kick scooter
# 880    📘    Objects    book-paper    blue book
# 881    🧦    Objects    clothing    socks
# 882    🥘    Food & Drink    food-prepared    shallow pan of food
# 883    🇵🇷    Flags    country-flag    flag: Puerto Rico
# 884    🤹    People & Body    person-sport    person juggling
# 885    ♊    Symbols    zodiac    Gemini
# 886    🌤️    Travel & Places    sky & weather    sun behind small cloud
# 887    🚁    Travel & Places    transport-air    helicopter
# 888    🔓    Objects    lock    unlocked
# 889    🏴    Flags    flag    black flag
# 890    💿    Objects    computer    optical disk
# 891    🦓    Animals & Nature    animal-mammal    zebra
# 892    📜    Objects    book-paper    scroll
# 893    👷    People & Body    person-role    construction worker
# 894    🇸🇦    Flags    country-flag    flag: Saudi Arabia
# 895    ⛹️    People & Body    person-sport    person bouncing ball
# 896    🚣    People & Body    person-sport    person rowing boat
# 897    👩‍💻    People & Body    person-role    woman technologist
# 898    ↙️    Symbols    arrow    down-left arrow
# 899    ⛷️    People & Body    person-sport    skier
# 900    🧖    People & Body    person-activity    person in steamy room
# 901    👳    People & Body    person-role    person wearing turban
# 902    🎎    Activities    event    Japanese dolls
# 903    ㊗️    Symbols    alphanum    Japanese “congratulations” button
# 904    🚹    Symbols    transport-sign    men’s room
# 905    ㊙️    Symbols    alphanum    Japanese “secret” button
# 906    👩‍🍳    People & Body    person-role    woman cook
# 907    ⛺    Travel & Places    place-other    tent
# 908    ↘️    Symbols    arrow    down-right arrow
# 909    🗞️    Objects    book-paper    rolled-up newspaper
# 910    🅾️    Symbols    alphanum    O button (blood type)
# 911    🎅    People & Body    person-fantasy    Santa Claus
# 912    🧂    Food & Drink    food-prepared    salt
# 913    7️⃣    Symbols    keycap    keycap: 7
# 914    🇵🇪    Flags    country-flag    flag: Peru
# 915    🚐    Travel & Places    transport-ground    minibus
# 916    🇮🇩    Flags    country-flag    flag: Indonesia
# 917    🖥️    Objects    computer    desktop computer
# 918    ⚒️    Objects    tool    hammer and pick
# 919    🏏    Activities    sport    cricket game
# 920    📀    Objects    computer    dvd
# 921    🎐    Activities    event    wind chime
# 922    🦢    Animals & Nature    animal-bird    swan
# 923    🌔    Travel & Places    sky & weather    waxing gibbous moon
# 924    6️⃣    Symbols    keycap    keycap: 6
# 925    🇦🇹    Flags    country-flag    flag: Austria
# 926    🗼    Travel & Places    place-building    Tokyo tower
# 927    ☯️    Symbols    religion    yin yang
# 928    🌒    Travel & Places    sky & weather    waxing crescent moon
# 929    🧞    People & Body    person-fantasy    genie
# 930    🕒    Travel & Places    time    three o’clock
# 931    🎳    Activities    sport    bowling
# 932    🎢    Travel & Places    place-other    roller coaster
# 933    🔟    Symbols    keycap    keycap: 10
# 934    ↔️    Symbols    arrow    left-right arrow
# 935    👨‍🍳    People & Body    person-role    man cook
# 936    ⏬    Symbols    av-symbol    fast down button
# 937    🧵    Activities    arts & crafts    thread
# 938    🚵    People & Body    person-sport    person mountain biking
# 939    🧒    People & Body    person    child
# 940    Ⓜ️    Symbols    alphanum    circled M
# 941    ♌    Symbols    zodiac    Leo
# 942    👩‍🎓    People & Body    person-role    woman student
# 943    🧪    Objects    science    test tube
# 944    🚕    Travel & Places    transport-ground    taxi
# 945    🏳️    Flags    flag    white flag
# 946    🇹🇭    Flags    country-flag    flag: Thailand
# 947    🇿🇦    Flags    country-flag    flag: South Africa
# 948    ✳️    Symbols    other-symbol    eight-spoked asterisk
# 949    🧽    Objects    household    sponge
# 950    👨‍❤️‍💋‍👨    People & Body    family    kiss: man, man
# 951    ⛲    Travel & Places    place-other    fountain
# 952    🏦    Travel & Places    place-building    bank
# 953    🇸🇪    Flags    country-flag    flag: Sweden
954    ☢️    Symbols    warning    radioactive
# 955    👚    Objects    clothing    woman’s clothes
# 956    📋    Objects    office    clipboard
# 957    🌩️    Travel & Places    sky & weather    cloud with lightning
# 958    ♒    Symbols    zodiac    Aquarius
# 959    🌘    Travel & Places    sky & weather    waning crescent moon
# 960    🐗    Animals & Nature    animal-mammal    boar
# 961    📠    Objects    phone    fax machine
# 962    🗳️    Objects    mail    ballot box with ballot
# 963    🤼    People & Body    person-sport    people wrestling
# 964    〽️    Symbols    other-symbol    part alternation mark
# 965    👩‍⚕️    People & Body    person-role    woman health worker
# 966    🇷🇺    Flags    country-flag    flag: Russia
# 967    ♏    Symbols    zodiac    Scorpio
# 968    ⛰️    Travel & Places    place-geographic    mountain
# 969    🧳    Travel & Places    hotel    luggage
# 970    🧶    Activities    arts & crafts    yarn
# 971    📧    Objects    mail    e-mail
# 972    🏂    People & Body    person-sport    snowboarder
# 973    🇵🇹    Flags    country-flag    flag: Portugal
# 974    👢    Objects    clothing    woman’s boot
# 975    🥅    Activities    sport    goal net
# 976    🍙    Food & Drink    food-asian    rice ball
# 977    🅿️    Symbols    alphanum    P button
# 978    ♎    Symbols    zodiac    Libra
# 979    🔯    Symbols    religion    dotted six-pointed star
# 980    👩‍❤️‍👩    People & Body    family    couple with heart: woman, woman
# 981    🤾    People & Body    person-sport    person playing handball
# 982    🛋️    Objects    household    couch and lamp
# 983    🇳🇬    Flags    country-flag    flag: Nigeria
# 984    ♍    Symbols    zodiac    Virgo
# 985    🇵🇱    Flags    country-flag    flag: Poland
# 986    📯    Objects    sound    postal horn
# 987    ◀️    Symbols    av-symbol    reverse button
# 988    🇩🇿    Flags    country-flag    flag: Algeria
# 989    🌓    Travel & Places    sky & weather    first quarter moon
# 990    🧻    Objects    household    roll of paper
# 991    🇮🇪    Flags    country-flag    flag: Ireland
# 992    🔁    Symbols    av-symbol    repeat button
# 993    9️⃣    Symbols    keycap    keycap: 9
# 994    🎽    Activities    sport    running shirt
# 995    🧣    Objects    clothing    scarf
# 996    👨‍💻    People & Body    person-role    man technologist
# 997    🧗    People & Body    person-activity    person climbing
# 998    🎴    Activities    game    flower playing cards
# 999    🇲🇦    Flags    country-flag    flag: Morocco
# 1000    ♓    Symbols    zodiac    Pisces
# 1001    📗    Objects    book-paper    green book
# 1002    ☪️    Symbols    religion    star and crescent
# 1003    ✒️    Objects    writing    black nib
# 1004    👪    People & Body    family    family
# 1005    ❔    Symbols    punctuation    white question mark
# 1006    🔚    Symbols    arrow    END arrow
# 1007    8️⃣    Symbols    keycap    keycap: 8
# 1008    📙    Objects    book-paper    orange book
# 1009    ✡️    Symbols    religion    star of David
# 1010    🧕    People & Body    person-role    woman with headscarf
# 1011    🏓    Activities    sport    ping pong
# 1012    ▫️    Symbols    geometric    white small square
# 1013    ⤴️    Symbols    arrow    right arrow curving up
# 1014    ⚙️    Objects    tool    gear
# 1015    🧲    Objects    tool    magnet
# 1016    💹    Objects    money    chart increasing with yen
# 1017    💷    Objects    money    pound banknote
# 1018    ◽    Symbols    geometric    white medium-small square
# 1019    📃    Objects    book-paper    page with curl
# 1020    🏧    Symbols    transport-sign    ATM sign
# 1021    🇱🇷    Flags    country-flag    flag: Liberia
# 1022    🥙    Food & Drink    food-prepared    stuffed flatbread
# 1023    ➰    Symbols    other-symbol    curly loop
# 1024    🌖    Travel & Places    sky & weather    waning gibbous moon
# 1025    🌗    Travel & Places    sky & weather    last quarter moon
# 1026    ℹ️    Symbols    alphanum    information
# 1027    🌂    Travel & Places    sky & weather    closed umbrella
# 1028    🖇️    Objects    office    linked paperclips
# 1029    🏟️    Travel & Places    place-building    stadium
# 1030    🔉    Objects    sound    speaker medium volume
# 1031    🎌    Flags    flag    crossed flags
# 1032    🇪🇨    Flags    country-flag    flag: Ecuador
# 1033    📤    Objects    mail    outbox tray
# 1034    🎞️    Objects    light & video    film frames
# 1035    🀄    Activities    game    mahjong red dragon
# 1036    🌦️    Travel & Places    sky & weather    sun behind rain cloud
# 1037    🔭    Objects    science    telescope
# 1038    🚰    Symbols    transport-sign    potable water
# 1039    🧑    People & Body    person    person
# 1040    📒    Objects    book-paper    ledger
# 1041    🇮🇶    Flags    country-flag    flag: Iraq
# 1042    🌫️    Travel & Places    sky & weather    fog
# 1043    🧧    Activities    event    red envelope
# 1044    🦏    Animals & Nature    animal-mammal    rhinoceros
# 1045    ♿    Symbols    transport-sign    wheelchair symbol
# 1046    🎿    Activities    sport    skis
# 1047    👩‍🏫    People & Body    person-role    woman teacher
# 1048    🍘    Food & Drink    food-asian    rice cracker
# 1049    🇯🇲    Flags    country-flag    flag: Jamaica
# 1050    ⏱️    Travel & Places    time    stopwatch
# 1051    🇳🇱    Flags    country-flag    flag: Netherlands
# 1052    🎖️    Activities    award-medal    military medal
# 1053    🏯    Travel & Places    place-building    Japanese castle
# 1054    🇬🇷    Flags    country-flag    flag: Greece
# 1055    🔲    Symbols    geometric    black square button
# 1056    🕑    Travel & Places    time    two o’clock
# 1057    🇾🇪    Flags    country-flag    flag: Yemen
# 1058    🥡    Food & Drink    food-asian    takeout box
# 1059    👨‍❤️‍👨    People & Body    family    couple with heart: man, man
# 1060    👩‍🦰    People & Body    person    woman: red hair
# 1061    💺    Travel & Places    transport-air    seat
# 1062    🇪🇺    Flags    country-flag    flag: European Union
# 1063    🔈    Objects    sound    speaker low volume
# 1064    ♑    Symbols    zodiac    Capricorn
# 1065    🧴    Objects    household    lotion bottle
# 1066    🥮    Food & Drink    food-asian    moon cake
# 1067    🔧    Objects    tool    wrench
# 1068    ◼️    Symbols    geometric    black medium square
# 1069    🛬    Travel & Places    transport-air    airplane arrival
# 1070    🗨️    Smileys & Emotion    emotion    left speech bubble
# 1071    🎑    Activities    event    moon viewing ceremony
# 1072    🏴󠁧󠁢󠁳󠁣󠁴󠁿    Flags    subdivision-flag    flag: Scotland
# 1073    🚤    Travel & Places    transport-water    speedboat
# 1074    📐    Objects    office    triangular ruler
# 1075    🎚️    Objects    music    level slider
# 1076    📓    Objects    book-paper    notebook
# 1077    🇧🇪    Flags    country-flag    flag: Belgium
# 1078    🇺🇦    Flags    country-flag    flag: Ukraine
# 1079    🎏    Activities    event    carp streamer
# 1080    🏷️    Objects    book-paper    label
# 1081    🏙️    Travel & Places    place-other    cityscape
# 1082    ⏪    Symbols    av-symbol    fast reverse button
# 1083    🏪    Travel & Places    place-building    convenience store
# 1084    🖍️    Objects    writing    crayon
# 1085    ☣️    Symbols    warning    biohazard
# 1086    🧝    People & Body    person-fantasy    elf
# 1087    🇨🇺    Flags    country-flag    flag: Cuba
# 1088    🚆    Travel & Places    transport-ground    train
# 1089    💂    People & Body    person-role    guard
# 1090    🧥    Objects    clothing    coat
# 1091    ⛑️    Objects    clothing    rescue worker’s helmet
# 1092    🛶    Travel & Places    transport-water    canoe
# 1093    🔕    Objects    sound    bell with slash
# 1094    🏴󠁧󠁢󠁥󠁮󠁧󠁿    Flags    subdivision-flag    flag: England
# 1095    🛰️    Travel & Places    transport-air    satellite
# 1096    📼    Objects    light & video    videocassette
# 1097    🔇    Objects    sound    muted speaker
# 1098    🏸    Activities    sport    badminton
# 1099    🖊️    Objects    writing    pen
# 1100    💽    Objects    computer    computer disk
# 1101    🇬🇭    Flags    country-flag    flag: Ghana
# 1102    🦡    Animals & Nature    animal-mammal    badger
# 1103    🌁    Travel & Places    place-other    foggy
# 1104    📔    Objects    book-paper    notebook with decorative cover
# 1105    🖋️    Objects    writing    fountain pen
# 1106    🚄    Travel & Places    transport-ground    high-speed train
# 1107    👨‍⚕️    People & Body    person-role    man health worker
# 1108    📶    Symbols    av-symbol    antenna bars
# 1109    🚼    Symbols    transport-sign    baby symbol
# 1110    🔦    Objects    light & video    flashlight
# 1111    🚅    Travel & Places    transport-ground    bullet train
# 1112    🉑    Symbols    alphanum    Japanese “acceptable” button
# 1113    🛩️    Travel & Places    transport-air    small airplane
# 1114    🧾    Objects    money    receipt
# 1115    👩‍🎤    People & Body    person-role    woman singer
# 1116    🇨🇭    Flags    country-flag    flag: Switzerland
# 1117    🛢️    Travel & Places    transport-ground    oil drum
# 1118    ⛩️    Travel & Places    place-religious    shinto shrine
# 1119    🧭    Travel & Places    place-map    compass
# 1120    🕓    Travel & Places    time    four o’clock
# 1121    🚖    Travel & Places    transport-ground    oncoming taxi
# 1122    🥽    Objects    clothing    goggles
# 1123    📑    Objects    book-paper    bookmark tabs
# 1124    👨‍🎓    People & Body    person-role    man student
# 1125    🕙    Travel & Places    time    ten o’clock
# 1126    🤽    People & Body    person-sport    person playing water polo
